x,y,iks
10,0,0
8.080275,5.891448,0
3.058169,9.520903,0
-3.138106,9.494856,0
-8.12952,5.823306,4
-9.999647,-0.084072,4
-8.030459,-5.959172,4
-2.978016,-9.546278,0
3.21782,-9.468138,0
8.178191,-5.754754,0
9.998586,0.168139,0
20,0,0
19.015928,6.196329,0
16.16055,11.782895,0
11.714858,16.209939,0
6.116338,19.041807,0
-0.084073,19.999823,0
-6.276211,18.989712,4
-11.850725,16.110876,4
-16.259041,11.646613,4
-19.06735,6.036239,4
-19.999293,-0.168145,4
-18.963161,-6.355982,4
-16.060917,-11.918344,4
-11.578163,-16.307855,4
-5.956033,-19.092555,4
0.252214,-19.99841,0
6.435641,-18.936276,0
11.985754,-16.010675,0
16.356382,-11.509508,0
19.117424,-5.875722,0
19.997173,0.336278,0
30,0,0
29.340927,6.253797,0
27.392668,12.232814,0
24.240825,17.674343,0
20.023885,22.339294,0
14.927131,26.022697,0
9.174507,28.56271,0
3.018772,29.84773,0
-3.269603,29.821296,4
-9.414317,28.484568,4
-15.145383,25.896281,4
-20.210989,22.170158,4
-24.388561,17.469919,4
-27.494544,12.002084,4
-29.392468,6.0069,4
-29.99894,-0.252217,4
-29.287313,-6.500252,4
-27.288856,-12.462678,4
-24.091376,-17.877517,4
-19.835365,-22.50685,4
-14.707825,-26.147273,4
-8.934049,-28.638833,4
-2.767728,-29.872055,4
3.520202,-29.792754,2
9.653461,-28.404413,0
15.362564,-25.768035,0
20.396665,-21.999456,0
24.534573,-17.264261,0
27.594477,-11.770507,0
29.44193,-5.759578,0
29.995759,0.504417,0
40,0,0
39.5049,6.273986,0
38.031855,12.392659,0
35.617332,18.204552,0
32.3211,23.56579,0
28.22476,28.343658,0
23.429715,32.419877,0
18.054668,35.693543,0
12.232676,38.083614,0
6.107865,39.530924,0
-0.168146,39.999647,4
-6.439995,39.478177,4
-12.552422,37.979425,4
-18.354114,35.540491,4
-23.701449,32.221752,4
-28.462055,28.105363,4
-32.518081,23.293226,4
-35.769123,17.904464,4
-38.134699,12.072478,4
-39.556251,5.941637,4
-39.998586,-0.33629,4
-39.450757,-6.605891,4
-37.926323,-12.711964,4
-35.463023,-18.503352,4
-32.121835,-23.836689,4
-27.98547,-28.579948,4
-23.156325,-32.615711,4
-17.753945,-35.844071,4
-11.912066,-38.185111,4
-5.775303,-39.580878,4
0.504427,-39.996819,4
6.771671,-39.422639,4
12.871281,-37.872551,0
18.652263,-35.384927,0
23.971508,-32.021349,0
28.697337,-27.865083,0
32.712764,-23.019015,0
35.918386,-17.603112,0
38.234848,-11.751443,0
39.604805,-5.608867,0
39.994345,0.672556,0
50,0,0
49.603625,6.283343,0
48.420784,12.467064,0
46.470231,18.45312,0
43.782892,24.146601,0
40.401375,29.457238,0
36.379295,34.30083,0
31.78042,38.600582,0
26.677666,42.288322,0
21.151938,45.305579,0
15.290845,47.604517,0
9.187317,49.148685,0
2.938123,49.9136,4
-3.357655,49.887134,4
-9.600197,49.069708,4
-15.690528,47.474281,4
-21.532085,45.126149,4
-27.032252,42.062541,4
-32.103821,38.332032,4
-36.666384,33.993768,4
-40.647602,29.116532,4
-43.984351,23.777654,4
-46.623729,18.061781,4
-48.523886,12.059538,4
-49.654697,5.866091,4
-49.998233,-0.420362,4
-49.549046,-6.700151,4
-48.314259,-12.873709,4
-46.313449,-18.843155,4
-43.578338,-24.513841,4
-40.152293,-29.795861,4
-36.089633,-34.605467,4
-31.454772,-38.866404,4
-26.321195,-42.511113,4
-20.770295,-45.481808,4
-14.890082,-47.731389,4
-8.773787,-49.224188,4
-2.518383,-49.936537,4
3.77695,-49.857142,4
10.012399,-48.987262,4
16.089101,-47.340689,4
21.910711,-44.943528,0
27.384926,-41.833788,0
32.424953,-38.060772,0
36.950883,-33.684303,0
40.890955,-28.773769,0
44.182701,-23.407027,0
46.773931,-17.669166,0
48.623559,-11.65116,0
49.70226,-5.448425,0
49.992932,0.840695,0
60,0,0
59.669554,6.28843,0
58.681855,12.507594,0
57.047783,18.588988,0
54.785336,24.465627,0
51.919436,30.07278,0
48.48165,35.348685,0
44.509845,40.235229,0
40.04777,44.678587,0
35.144573,48.629816,0
29.854263,52.045394,0
24.235112,54.887698,0
18.349015,57.12542,0
12.260805,58.733914,4
6.037544,59.695461,4
-0.25222,59.99947,4
-6.539205,59.642592,4
-12.754162,58.628759,4
-18.828634,56.969137,4
-24.69571,54.682007,4
-30.290766,51.792562,4
-35.552174,48.332628,4
-40.421978,44.340317,4
-44.84654,39.859602,4
-48.777122,34.939839,4
-52.170431,29.635218,4
-54.989089,24.004169,4
-57.202049,18.108716,4
-58.784935,12.013799,4
-59.720313,5.786551,4
-59.99788,-0.504435,4
-59.614577,-6.789865,4
-58.574627,-13.000505,4
-56.889484,-19.067946,4
-54.577712,-24.925356,4
-51.664772,-30.508217,4
-48.182752,-35.755033,4
-44.170005,-40.608013,4
-39.67073,-45.0137,4
-34.734488,-48.923566,4
-29.415649,-52.294546,4
-23.772801,-55.089508,4
-17.868098,-57.277666,4
-11.766581,-58.834918,4
-5.535456,-59.74411,4
0.756641,-59.995229,4
7.040404,-59.585508,4
13.246618,-58.519459,4
19.306922,-56.808827,4
25.154562,-54.472452,4
30.725129,-51.53607,0
35.957261,-48.032024,0
40.79333,-43.998912,0
45.180064,-39.481157,0
49.069146,-34.528523,0
52.417738,-29.195561,0
55.188954,-23.541013,0
57.352272,-17.627165,0
58.883861,-11.519155,0
59.766852,-5.284263,0
59.991518,1.008834,0
70,0,0
69.716691,6.291498,0
68.869058,12.53207,0
67.463963,18.671201,0
65.512778,24.659196,0
63.031297,30.447587,0
60.039608,35.989519,0
56.561926,41.240133,0
52.626401,46.156927,0
48.26489,50.700102,0
43.512698,54.832884,0
38.40829,58.521819,0
32.992985,61.737046,0
27.310618,64.452542,0
21.407184,66.646324,4
15.330468,68.300635,4
9.12966,69.402084,4
2.854951,69.941756,4
-3.442868,69.915282,4
-9.712817,69.322876,4
-15.904147,68.169334,4
-21.966739,66.463993,4
-27.851521,64.220657,4
-33.510858,61.457484,4
-38.89894,58.196842,4
-43.972154,54.465124,4
-48.689433,50.292536,4
-53.012594,45.712853,4
-56.906643,40.763145,4
-60.340059,35.48348,4
-63.28505,29.916592,4
-65.717778,24.107543,4
-67.618552,18.103354,4
-68.971985,11.952628,4
-69.767122,5.705151,4
-69.997526,-0.588507,4
-69.661333,-6.877402,4
-68.761264,-13.110626,4
-67.304605,-19.237727,4
-65.303146,-25.209107,4
-62.773089,-30.976431,4
-59.734913,-36.493015,4
-56.213211,-41.714206,4
-52.236488,-46.597739,4
-47.836936,-51.104085,4
-43.050166,-55.196768,4
-37.914925,-58.842658,4
-32.472781,-62.012245,4
-26.767784,-64.679871,4
-20.846115,-66.823944,4
-14.755706,-68.427108,4
-8.545856,-69.476387,4
-2.266832,-69.963287,4
4.030541,-69.883866,4
10.295289,-69.238768,4
16.476701,-68.033215,4
22.524742,-66.276964,4
28.390456,-63.984233,4
34.026362,-61.173578,4
39.386841,-57.867752,0
44.428501,-54.093514,0
49.110534,-49.881414,0
53.39504,-45.265547,0
57.247337,-40.283277,0
60.636244,-34.974932,0
63.53433,-29.383481,0
65.918134,-23.554185,0
67.768362,-17.534229,0
69.070036,-11.372341,0
69.812621,-5.1184,0
69.990105,1.176973,0
80,0,0
79.752066,6.29349,0
79.009799,12.547971,0
77.777802,18.724676,0
76.06371,24.785318,0
73.878148,30.692331,0
71.234663,36.409103,0
68.14964,41.900198,0
64.642201,47.131581,0
60.734086,52.070825,0
56.44952,56.687315,0
51.815059,60.952438,0
46.85943,64.839755,0
41.61335,68.325172,0
36.109335,71.387085,0
30.381502,74.006516,4
24.465353,76.167227,4
18.397559,77.855827,4
12.21573,79.061849,4
5.958184,79.777817,4
-0.336293,79.999293,4
-6.628685,79.724905,4
-12.879991,78.956354,4
-19.051462,77.698403,4
-25.104845,75.958849,4
-31.002619,73.748475,4
-36.708228,71.080982,4
-42.186306,67.972903,4
-47.402898,64.443504,4
-52.32567,60.514661,4
-56.924109,56.210727,4
-61.169712,51.558378,4
-65.036163,46.586452,4
-68.499497,41.325766,4
-71.538246,35.808929,4
-74.133575,30.070135,4
-76.269398,24.144955,4
-77.932476,18.070117,4
-79.112501,11.883273,4
-79.802158,5.622773,4
-79.997173,-0.67258,4
-79.696336,-6.963763,4
-78.901513,-13.211783,4
-77.61763,-19.377911,4
-75.852646,-25.423928,4
-73.617499,-31.312359,4
-70.926045,-37.006704,4
-67.794966,-42.471668,4
-64.243669,-47.673378,4
-60.294167,-52.579591,4
-55.970941,-57.159897,4
-51.300786,-61.385905,4
-46.31265,-65.231422,4
-41.037453,-68.672611,4
-35.50789,-71.688142,4
-29.758237,-74.259325,4
-23.824131,-76.370222,4
-17.742355,-78.007749,4
-11.550606,-79.161755,4
-5.287262,-79.825089,4
1.008855,-79.993639,4
7.298718,-79.666359,4
13.543341,-78.845278,4
19.704018,-77.535487,4
25.742562,-75.745102,4
31.621545,-73.485222,4
37.304526,-70.769855,4
42.75628,-67.61583,4
47.943015,-64.042699,4
52.832583,-60.072608,0
57.394675,-55.730165,0
61.601014,-51.042287,0
65.425528,-46.03803,0
68.844512,-40.748414,0
71.836772,-35.206224,0
74.383762,-29.445813,0
76.469696,-23.502886,0
78.081642,-17.41428,0
79.209611,-11.217735,0
79.84661,-4.951657,0
79.988691,1.345112,0
90,0,0
89.77959,6.294856,0
89.11944,12.55888,0
88.022782,18.761391,0
86.494989,24.872008,0
84.543544,30.860803,0
82.178005,36.698441,0
79.409957,42.35633,0
76.25296,47.806758,0
72.722476,53.023028,0
68.835797,57.979592,0
64.61196,62.652171,0
60.071654,67.017881,0
55.237117,71.055337,0
50.132029,74.744763,0
44.781394,78.06809,4
39.21142,81.00904,4
33.449389,83.553207,4
27.523522,85.688131,4
21.462845,87.403354,4
15.297043,88.690476,4
9.056316,89.543191,4
2.771231,89.957325,4
-3.527427,89.930847,4
-9.808808,89.463888,4
-16.042145,88.558735,4
-22.196908,87.219822,4
-28.24295,85.453705,4
-34.150659,83.269037,4
-39.891097,80.676517,4
-45.436149,77.688843,4
-50.758655,74.320649,4
-55.832545,70.588433,4
-60.632967,66.510475,4
-65.136409,62.106749,4
-69.320813,57.398823,4
-73.165683,52.409758,4
-76.652188,47.163991,4
-79.763251,41.687214,4
-82.483633,36.006253,4
-84.800011,30.148934,4
-86.701038,24.143945,4
-88.177403,18.020699,4
-89.221876,11.809187,4
-89.829339,5.539835,4
-89.996819,-0.756652,4
-89.723495,-7.049433,4
-89.010704,-13.307686,4
-87.86194,-19.500757,4
-86.282827,-25.598314,4
-84.281102,-31.57049,4
-81.866567,-37.388035,4
-79.051051,-43.022452,4
-75.848342,-48.446146,4
-72.274128,-53.63255,4
-68.345915,-58.556262,4
-64.082944,-63.193166,4
-59.506095,-67.52055,4
-54.637785,-71.517217,4
-49.50186,-75.163594,4
-44.123474,-78.44182,4
-38.528971,-81.335837,4
-32.745754,-83.831471,4
-26.802148,-85.916499,4
-20.727265,-87.580708,4
-14.550859,-88.815947,4
-8.303184,-89.616166,4
-2.01484,-89.977444,4
4.283373,-89.898013,4
10.560606,-89.378261,4
16.786113,-88.420735,4
22.929402,-87.030124,4
28.960383,-85.21324,4
34.849515,-82.978981,4
40.567955,-80.338291,4
46.087693,-77.304104,4
51.381693,-73.891282,4
56.424026,-70.116541,4
61.189994,-65.998368,4
65.656254,-61.556936,0
69.800929,-56.813997,0
73.603719,-51.792784,0
77.045999,-46.51789,0
80.110907,-41.015151,0
82.783432,-35.31152,0
85.050483,-29.434933,0
86.900958,-23.414174,0
88.325791,-17.278733,0
89.318005,-11.05866,0
89.87274,-4.784421,0
89.987277,1.513251,0
100,0,0
99.801616,6.295833,0
99.20725,12.566687,0
98.21926,18.78768,0
96.841568,24.934129,0
95.079638,30.981647,0
92.940462,36.90624,0
90.432527,42.6844,0
87.565784,48.293202,0
84.351608,53.710392,0
80.802751,58.914476,0
76.933294,63.884805,0
72.758589,68.60166,0
68.295201,73.046324,0
63.560839,77.201164,0
58.574288,81.049693,4
53.355332,84.576643,4
47.924679,87.768019,4
42.303876,90.611159,4
36.515224,93.094782,4
30.581691,95.209034,4
24.526819,96.945527,4
18.374633,98.29737,4
12.149542,99.259199,4
5.876246,99.827199,4
-0.420366,99.999116,4
-6.71531,99.774268,4
-12.983609,99.153547,4
-19.200394,98.139415,4
-25.340998,96.735897,4
-31.381056,94.948561,4
-37.296604,92.784499,4
-43.064171,90.252297,4
-48.660873,87.362002,4
-54.064503,84.125082,4
-59.253623,80.55438,4
-64.207642,76.664064,4
-68.906906,72.469568,4
-73.332769,67.987536,4
-77.46767,63.23575,4
-81.295204,58.233065,4
-84.800183,52.999329,4
-87.968703,47.555308,4
-90.788189,41.922603,4
-93.247457,36.123562,4
-95.336748,30.181194,4
-97.047772,24.119077,4
-98.373742,17.961262,4
-99.309395,11.732183,4
-99.851019,5.456554,4
-99.996466,-0.840725,4
-99.745158,-7.134668,4
-99.098092,-13.400303,4
-98.057836,-19.612769,4
-96.628518,-25.747419,4
-94.815807,-31.77991,4
-92.626897,-37.686309,4
-90.070473,-43.44318,4
-87.156677,-49.027683,4
-83.89707,-54.417659,4
-80.304587,-59.591722,4
-76.393479,-64.529345,4
-72.179267,-69.210935,4
-67.678669,-73.617917,4
-62.909544,-77.732807,4
-57.890813,-81.539277,4
-52.64239,-85.022225,4
-47.185098,-88.167832,4
-41.54059,-90.963616,4
-35.731262,-93.398484,4
-29.780164,-95.462777,4
-23.710908,-97.148303,4
-17.547574,-98.448376,4
-11.314616,-99.357835,4
-5.036766,-99.873074,4
1.261069,-99.992048,4
7.5539,-99.714285,4
13.816759,-99.040886,4
20.024798,-97.974525,4
26.153385,-96.519431,4
32.178203,-94.681378,4
38.075348,-92.467658,4
43.821422,-89.887057,4
49.393627,-86.949811,4
54.769853,-83.667576,4
59.928769,-80.053374,4
64.849907,-76.121545,4
69.51374,-71.887689,4
73.901765,-67.368606,4
77.996571,-62.582226,0
81.78191,-57.547538,0
85.242765,-52.28452,0
88.365403,-46.814053,0
91.137435,-41.157843,0
93.547861,-35.338331,0
95.587119,-29.378608,0
97.247118,-23.30232,0
98.52127,-17.133575,0
99.40452,-10.89685,0
99.893365,-4.616889,0
99.985864,1.68139,0
110,0,0
109.781777,6.925417,0
109.127975,13.823356,0
108.041186,20.666448,0
106.525724,27.427542,0
104.587602,34.079812,0
102.234508,40.596864,0
99.47578,46.95284,0
96.322363,53.122523,0
92.786769,59.081431,0
88.883026,64.805923,0
84.626623,70.273286,0
80.034448,75.461826,0
75.124721,80.350957,4
69.916923,84.92128,4
64.431717,89.154663,4
58.690865,93.034307,4
52.717147,96.544821,4
46.534263,99.672275,4
40.166746,102.40426,4
33.63986,104.729938,4
26.979501,106.640079,4
20.212097,108.127106,4
13.364496,109.185119,4
6.46387,109.809919,4
-0.462403,109.999028,4
-7.386841,109.751695,4
-14.28197,109.068902,4
-21.120434,107.953357,4
-27.875097,106.409487,4
-34.519162,104.443418,4
-41.026264,102.062949,4
-47.370588,99.277527,4
-53.52696,96.098203,4
-59.470953,92.537591,4
-65.178985,88.609818,4
-70.628406,84.33047,4
-75.797597,79.716525,4
-80.666046,74.786289,4
-85.214437,69.559325,4
-89.424724,64.056371,4
-93.280202,58.299262,4
-96.765573,52.310839,4
-99.867008,46.114864,4
-102.572203,39.735918,4
-104.870423,33.199314,4
-106.75255,26.530984,4
-108.211116,19.757388,4
-109.240334,12.905401,4
-109.836121,6.002209,4
-109.996112,-0.924797,4
-109.719674,-7.848135,4
-109.007901,-14.740333,4
-107.86362,-21.574046,4
-106.291369,-28.32216,4
-104.297388,-34.957901,4
-101.889587,-41.45494,4
-99.07752,-47.787499,4
-95.872344,-53.930451,4
-92.286777,-59.859425,4
-88.335045,-65.550895,4
-84.032827,-70.982279,4
-79.397193,-76.132028,4
-74.446536,-80.979709,4
-69.200498,-85.506088,4
-63.679894,-89.693205,4
-57.906629,-93.524448,4
-51.903607,-96.984615,4
-45.694649,-100.059977,4
-39.304389,-102.738333,4
-32.758181,-105.009055,4
-26.081998,-106.863134,4
-19.302331,-108.293213,4
-12.446078,-109.293619,4
-5.540443,-109.860382,4
1.387175,-109.991253,4
8.309289,-109.685713,4
15.198435,-108.944975,4
22.027278,-107.771977,4
28.768723,-106.171374,4
35.396023,-104.149515,4
41.882883,-101.714424,4
48.203565,-98.875762,4
54.332989,-95.644792,4
60.246838,-92.034333,4
65.921646,-88.058711,4
71.334897,-83.733699,4
76.465114,-79.076458,4
81.291942,-74.105467,4
85.796228,-68.840448,4
89.960101,-63.302292,4
93.767041,-57.512972,0
97.201943,-51.495458,0
100.251178,-45.273627,0
102.902647,-38.872164,0
105.145831,-32.316469,0
106.971829,-25.632551,0
108.373397,-18.846932,0
109.344972,-11.986535,0
109.882701,-5.078578,0
